MAC_addr,label,time.nist.gov,smtp.gmail.com,pool.ntp.org,www.example.com,www.example.net,www.example.org,www.samsungsmartcam.com,babyws.withings.net,netcom.netatmo.net,connect.insteon.com,sip.invoxia.com,scalews.withings.net,device-metrics-us.amazon.com,api.pix-star.com,www.belkin.com,d3gjecg2uu2eaq.cloudfront.net,api.pix-star.com.lan,api.pix-star.com.#,api.pix-star.com.wlan0,aps1-relay.tplinkcloud.com,apicom.netatmo.net,pindorama.amazon.com,uk.pool.ntp.org,www.meethue.com,devs.tplinkcloud.com,xmpp.samsungsmartcam.com,amzdigitaldownloads.edgesuite.net,tunnel.xbcs.net,api.evrythng.com,ws.invoxia.io,_vpn._udp.netatmo.net,www.example.com.lan,www.example.org.lan,mqtt.evrythng.com,xbcs.net,www.example.net.lan,pindorama.amazon.com.lan,vpn.netatmo.net,xmpp006.hpeprint.com,v2.broker.lifx.co,chat.hpeprint.com,dc-na02-useast1.connect.smartthings.com,147.172.154.195.in-addr.arpa,216.177.210.62.in-addr.arpa,238.179.154.195.in-addr.arpa,168.178.210.62.in-addr.arpa,softwareupdates.amazon.com,173.199.154.195.in-addr.arpa,74.191.154.195.in-addr.arpa,v2.netatmo.net,v6.netatmo.net,162.37.171.149.in-addr.arpa,v0.netatmo.net,v1.netatmo.net,v3.netatmo.net,v5.netatmo.net,v4.netatmo.net,clients3.google.com,h20593.www2.hp.com,0.invoxia.pool.ntp.org,iptime.pix-star.com,xmpp.withings.net,frontdoor.nest.com,nexus.dropcam.com,DC.connect.smartthings.com,2.android.pool.ntp.org,transport02.rts08.iad01.production.nest.com,xmpp.samsungsmartcam.com.lan,log-rts08-iad01.devices.nest.com,icecast.icecast.sbs.com.au,developer.invoxia.com,55.140.69.52.in-addr.arpa,devs.tplinkcloud.com.lan,asia.pool.ntp.org,iptime.pix-star.com.wlan0,iptime.pix-star.com.lan,iptime.pix-star.com.#,media.samsungsmartcam.com,3.invoxia.pool.ntp.org,0.pool.ntp.org,223.74.193.52.in-addr.arpa,A.root-servers.net,fr.pool.ntp.org,pins.amazon.com,fr-eqx-fwd-03.withings.com,todo-ta-g7g.amazon.com,static.withings.com,ccc.hpeprint.com,devices.xbcs.net,oculus1170-vir.dropcam.com,oculus689-vir.dropcam.com,files.dropcam.com,tech.carematix.com,fr-on-vm-02-lxc-05.withings.net,www.hp.com,h10141.www1.hp.com,3.north-america.pool.ntp.org,2.north-america.pool.ntp.org,1.north-america.pool.ntp.org,www.samsungsmartcam.com.lan,8937406324.airable.io,esdk-ffl.spotify.com,det-ta-g7g.amazon.com,0.north-america.pool.ntp.org,vpn.netatmo.net.lan,opml.radiotime.com,ntp-g7g.amazon.com,pd.npr.org,fr-ovh-fwd-03.withings.net,live.radioart.biz,fr-on-fwd-01.withings.net,time.nist.gov.lan,log-rts23-iad01.devices.nest.com,fr-eqx-fwd-06.withings.com,de.pool.ntp.org,fr-on-fwd-03.withings.net,transport04.rts23.iad01.production.nest.com,us-iweb-fwd-01-lxc-04.withings.net,fr-on-vm-02-lxc-03.withings.net,2637611158.airable.io,whatismyip.akamai.com,us-iweb-fwd-05-lxc-02.withings.net,__Other__
d2:13:91:23:2a:58,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ac:bc:32:d4:6f:2f,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,673
ac:bc:32:d4:6f:2f,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327
ac:bc:32:d4:6f:2f,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1093
ac:bc:32:d4:6f:2f,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269
ac:bc:32:d4:6f:2f,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
ac:bc:32:d4:6f:2f,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104
ac:bc:32:d4:6f:2f,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387
ac:bc:32:d4:6f:2f,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,506
ac:bc:32:d4:6f:2f,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590
