,label,flow_volume,flow_duration,flow_rate,sleep_time,dns_interval,ntp_interval,avg_win,avg_mss,avg_sen,ip_cnt,df_cnt,icmp_cnt,tcp_cnt,udp_cnt,http_cnt,dhcp_cnt,dns_cnt,ntp_cnt,dstIp_cnt,burst,period,top1_pt_name,top1_pt_cnt,top2_pt_name,top2_pt_cnt,top3_pt_name,top3_pt_cnt,top4_pt_name,top4_pt_cnt,top5_pt_name,top5_pt_cnt,top6_pt_name,top6_pt_cnt,top7_pt_name,top7_pt_cnt,top8_pt_name,top8_pt_cnt,top9_pt_name,top9_pt_cnt,top10_pt_name,top10_pt_cnt,top11_pt_name,top11_pt_cnt,top12_pt_name,top12_pt_cnt,top13_pt_name,top13_pt_cnt,top14_pt_name,top14_pt_cnt,top15_pt_name,top15_pt_cnt,top16_pt_name,top16_pt_cnt,top1_dm_name,top1_dm_cnt,top2_dm_name,top2_dm_cnt,top3_dm_name,top3_dm_cnt,top4_dm_name,top4_dm_cnt,top5_dm_name,top5_dm_cnt,top6_dm_name,top6_dm_cnt,top7_dm_name,top7_dm_cnt,top8_dm_name,top8_dm_cnt,top1_cs_name,top1_cs_cnt,top2_cs_name,top2_cs_cnt
0,24,1146,36,31.217765000000004,3.059156,0.0,0.0,0.0,0.0,0.0,7,7,0,0,4,0,0,1,1,3,0.0,0.0,100000,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,24,2032079,1052,1929.8445219999999,0.105129,1.480266,168.434989,18367.8,1460.0,0.816152,6828,5485,92,5566,1140,286,18,673,4,90,0.0,0.0,443,4353,53,725,5223,385,100000,383,4070,345,80,286,5353,99,137,92,67,18,1900,16,123,4,0,0,0,0,0,0,0,0,0,0,1000,673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25500000,118,0,0
2,24,469197,799,586.538742,0.292697,2.428418,64.818951,27322.2,1460.0,0.782478,2604,2067,21,2070,507,61,3,327,13,51,2.0,0.6008454334390373,443,1952,53,339,100000,105,80,61,5223,45,5353,32,137,27,123,13,67,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25500000,59,0,0
3,24,2993314,3172,943.3967789999999,0.134184,2.7960830000000003,99.212629,29768.1,1460.0,0.804401,23480,22018,65,22048,1358,1615,1,1093,31,121,0.0,0.0,443,20379,80,1615,53,1101,100000,212,5223,46,123,31,5353,14,137,7,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25500000,179,0,0
4,24,1061330,1893,560.536301,0.32333,6.655107000000001,132.219227,27304.5,1460.0,0.772991,5687,5117,35,5175,473,857,4,269,5,77,0.0,0.0,443,4192,80,857,53,314,100000,141,5223,81,137,27,5353,27,123,5,67,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25500000,114,0,0
5,24,264031,305,865.2337769999999,0.246292,3.052315,0.0,26633.2,1460.0,0.803161,1131,873,7,873,247,21,1,99,1,33,3.0,0.5657231672221706,443,791,53,115,100000,79,5223,45,5353,38,137,30,80,21,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25500000,28,0,0
6,24,411709,517,796.074988,0.263327,4.319595,134.39821799999999,16394.5,1460.0,0.7015859999999999,1871,1088,10,1634,223,631,1,104,3,38,0.0,0.0,443,947,80,631,53,116,100000,79,5223,42,5353,20,137,18,123,3,67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25500000,30,0,0
7,24,613932,445,1376.76597,0.099116,1.0519290000000001,68.940506,22387.5,1460.0,0.737219,4423,3880,43,3880,497,1160,3,387,3,57,2.0,0.7551328473373164,443,2667,80,1160,53,391,100000,71,5223,49,137,18,5353,15,123,3,67,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25500000,115,0,0
8,24,13159928,3598,3657.3768880000002,0.019107,6.630863000000001,502.64519,35489.6,1460.0,0.859057,188171,187396,26,187400,743,185110,0,506,7,55,3.0,0.9953720496848892,80,185110,443,2227,53,524,100000,208,5223,45,137,15,123,7,5353,6,138,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25500000,65,0,0
9,24,5608693,3588,1562.916328,0.051366999999999996,5.936342,993.000641,38209.7,1460.0,0.818946,69385,68504,27,68509,846,65203,0,590,3,66,2.0,1.0,80,65203,443,3162,53,602,100000,328,137,29,5223,18,5353,10,123,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25500000,80,0,0
10,24,1632988,1508,1082.675969,0.08723,3.535137,968.2204109999999,29359.0,1460.0,0.753988,17208,16652,26,16661,520,63,0,412,2,56,0.0,0.0,443,16533,53,416,100000,106,80,63,5223,53,137,6,123,2,138,1,5353,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25500000,54,0,0
11,24,1370358,3429,399.58795499999997,0.420995,9.003627,200.830966,20580.3,1460.0,0.785295,8029,7230,49,7230,748,3779,2,372,13,58,1.0,0.8426877813104442,80,3779,443,3384,53,381,100000,271,5223,58,137,55,5353,34,123,13,67,2,138,1,0,0,0,0,0,0,0,0,0,0,0,0,1000,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25500000,80,0,0
12,24,1050366,2736,383.854445,0.514838,10.848410000000001,415.575916,23428.6,1460.0,0.7945180000000001,5092,4459,24,4519,541,1276,3,236,7,59,0.0,0.0,443,3040,80,1276,53,242,5223,197,100000,176,5353,73,137,46,123,7,67,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25500000,90,0,0
13,24,6724680,2345,2866.672068,0.03528,2.3914779999999998,118.46986899999999,30839.4,1515.43,0.7836380000000001,66218,64193,155,64698,1352,4583,4,972,20,153,3.0,0.5130124251622282,443,60003,80,4583,53,976,100000,298,5223,97,137,33,5353,31,123,20,138,5,67,4,0,0,0,0,0,0,0,0,0,0,0,0,1000,972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25500000,304,0,0
14,24,21231053,3598,5899.650275999999,0.017331,2.651031,147.855064,31648.5,1460.0,0.74033,133943,131203,214,132020,1702,19038,0,1329,24,211,4.0,0.8538467585425199,100000,67379,443,42828,80,19038,53,1335,5353,65,5223,60,137,33,123,26,138,10,3468,2,3588,2,3929,2,3893,2,3719,2,3419,2,3864,2,1000,1329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25500000,485,0,0
15,24,6477665,3578,1810.282759,0.114817,6.492182,269.277958,25573.9,1460.0,0.748555,28622,26204,77,26229,2303,9670,0,537,12,122,1.0,1.0,443,16969,80,9670,100000,1165,53,545,5223,97,5353,47,1900,26,123,12,137,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25500000,260,0,0
16,24,84,32,2.563558,32.766957,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,24,7513144,2983,2518.05153,0.036351999999999995,5.466137000000001,380.10972200000003,32578.9,1460.0,0.753588,81832,80703,81,80851,884,9968,1,543,6,110,4.0,0.47713834990772575,443,70801,80,9968,53,561,100000,253,5223,57,5353,45,137,37,123,6,138,6,67,1,0,0,0,0,0,0,0,0,0,0,0,0,1000,543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25500000,230,0,0
18,24,34687935,3599,9637.420987000001,0.041789,5.140496,539.972124,23333.2,1460.0,0.919142,85812,84650,77,84651,1074,36706,0,666,7,136,2.0,0.8149891355346005,443,47520,80,36706,53,670,100000,570,5353,121,5223,91,137,28,138,12,123,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25500000,249,0,0
19,24,1033371,2894,356.952562,0.329125,25.595385999999998,351.758279,24741.0,1460.0,0.788665,8659,8300,13,8302,331,3773,0,110,8,36,0.0,0.0,443,4463,80,3773,100000,214,53,114,5223,38,137,12,123,8,5353,8,138,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25500000,42,0,0
20,24,198812,3075,64.65255,2.35278,65.515812,126.377384,20701.4,1460.0,0.719543,1056,1052,2,880,138,43,2,40,6,35,2.0,0.5675391139324154,443,657,100000,179,80,43,53,40,5222,35,5228,27,5223,17,5353,12,123,6,67,2,0,0,0,0,0,0,0,0,0,0,0,0,1000,34,14,3,19,3,0,0,0,0,0,0,0,0,0,0,25500000,30,0,0
21,24,436108,3584,121.655327,1.6391330000000002,94.276899,2.449233,21354.6,1460.0,0.71055,1564,1564,0,1470,70,80,0,33,2,36,3.0,1.0,443,799,100000,361,49153,121,2869,85,80,80,53,33,5228,18,5222,17,49152,14,5223,8,1900,2,123,2,0,0,0,0,0,0,0,0,1000,30,14,2,19,1,0,0,0,0,0,0,0,0,0,0,25500000,33,0,0
22,24,61560,1898,32.430279999999996,3.595125,70.681388,0.0,19828.2,1460.0,0.665632,388,388,0,355,24,5,0,12,1,18,0.0,0.0,443,213,100000,126,5228,21,53,12,80,5,5223,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,10,14,2,0,0,0,0,0,0,0,0,0,0,0,0,25500000,7,0,0
23,24,174603,3404,51.286611,4.0099599999999995,91.74266899999999,0.0,25921.4,1460.0,0.703442,795,793,0,711,77,15,2,38,1,31,3.0,0.991390947208493,443,612,5222,83,53,38,5223,17,80,15,5228,12,1900,6,5353,3,67,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,36,14,2,0,0,0,0,0,0,0,0,0,0,0,0,25500000,37,0,0
24,24,363539,2779,130.795068,1.555375,39.016391,0.0,28358.8,1460.0,0.72096,1720,1720,0,1575,122,125,0,69,1,46,0.0,0.0,443,1392,80,125,53,69,5228,31,5222,30,1900,24,5353,15,49152,10,5223,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,68,14,1,0,0,0,0,0,0,0,0,0,0,0,0,25500000,65,0,0
25,24,264723,1405,188.288804,0.9018219999999999,17.962155,0.0,29510.0,1460.0,0.7650239999999999,1482,1468,0,1383,96,272,14,76,1,39,5.0,0.48567804544161763,443,1045,80,272,53,76,100000,38,5228,28,67,14,5353,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,75,14,1,0,0,0,0,0,0,0,0,0,0,0,0,25500000,56,0,0
26,24,429535,3561,120.593753,1.5690899999999999,30.535915000000003,226.092359,26710.6,1460.0,0.736664,2097,2076,21,1945,130,221,0,117,3,63,2.0,1.0,443,1534,80,221,100000,154,53,117,5222,33,5228,13,123,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,113,14,3,19,1,0,0,0,0,0,0,0,0,0,0,25500000,74,0,0
27,24,148971,1693,87.979122,2.345227,31.723327,24.919472,24792.3,1460.0,0.763099,639,624,15,563,61,28,0,51,2,26,0.0,0.0,443,480,53,51,100000,38,80,28,5222,19,5228,6,123,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,48,14,2,19,1,0,0,0,0,0,0,0,0,0,0,25500000,13,0,0
28,24,670206,464,1444.002666,0.096553,4.766955,0.0,33028.5,1460.0,0.778451,4720,4701,9,4502,207,348,10,96,1,55,3.0,0.7913785636901957,443,4227,80,348,53,96,5228,13,67,10,5353,8,100000,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,95,14,1,0,0,0,0,0,0,0,0,0,0,0,0,25500000,127,0,0
