MAC_addr,label,avg_win,avg_mss,avg_sen,ip_cnt,df_cnt,icmp_cnt,tcp_cnt,udp_cnt,http_cnt,dhcp_cnt,dns_cnt,ntp_cnt
d2:13:91:23:2a:58,24,0,0,0,7,7,0,0,4,0,0,1,1
ac:bc:32:d4:6f:2f,24,18367.8,1460,0.816152,6828,5485,92,5566,1140,286,18,673,4
ac:bc:32:d4:6f:2f,24,27322.2,1460,0.782478,2604,2067,21,2070,507,61,3,327,13
ac:bc:32:d4:6f:2f,24,29768.1,1460,0.804401,23480,22018,65,22048,1358,1615,1,1093,31
ac:bc:32:d4:6f:2f,24,27304.5,1460,0.772991,5687,5117,35,5175,473,857,4,269,5
ac:bc:32:d4:6f:2f,24,26633.2,1460,0.803161,1131,873,7,873,247,21,1,99,1
ac:bc:32:d4:6f:2f,24,16394.5,1460,0.701586,1871,1088,10,1634,223,631,1,104,3
ac:bc:32:d4:6f:2f,24,22387.5,1460,0.737219,4423,3880,43,3880,497,1160,3,387,3
ac:bc:32:d4:6f:2f,24,35489.6,1460,0.859057,188171,187396,26,187400,743,185110,0,506,7
ac:bc:32:d4:6f:2f,24,38209.7,1460,0.818946,69385,68504,27,68509,846,65203,0,590,3
ac:bc:32:d4:6f:2f,24,29359,1460,0.753988,17208,16652,26,16661,520,63,0,412,2
ac:bc:32:d4:6f:2f,24,20580.3,1460,0.785295,8029,7230,49,7230,748,3779,2,372,13
ac:bc:32:d4:6f:2f,24,23428.6,1460,0.794518,5092,4459,24,4519,541,1276,3,236,7
ac:bc:32:d4:6f:2f,24,30839.4,1515.43,0.783638,66218,64193,155,64698,1352,4583,4,972,20
ac:bc:32:d4:6f:2f,24,31648.5,1460,0.74033,133943,131203,214,132020,1702,19038,0,1329,24
ac:bc:32:d4:6f:2f,24,25573.9,1460,0.748555,28622,26204,77,26229,2303,9670,0,537,12
ac:bc:32:d4:6f:2f,24,0,0,0,0,0,0,0,0,0,0,1,1
ac:bc:32:d4:6f:2f,24,32578.9,1460,0.753588,81832,80703,81,80851,884,9968,1,543,6
ac:bc:32:d4:6f:2f,24,23333.2,1460,0.919142,85812,84650,77,84651,1074,36706,0,666,7
ac:bc:32:d4:6f:2f,24,24741,1460,0.788665,8659,8300,13,8302,331,3773,0,110,8
40:f3:08:ff:1e:da,24,20701.4,1460,0.719543,1056,1052,2,880,138,43,2,40,6
40:f3:08:ff:1e:da,24,21354.6,1460,0.71055,1564,1564,0,1470,70,80,0,33,2
40:f3:08:ff:1e:da,24,19828.2,1460,0.665632,388,388,0,355,24,5,0,12,1
40:f3:08:ff:1e:da,24,25921.4,1460,0.703442,795,793,0,711,77,15,2,38,1
