MAC_addr,label,flow_volume,flow_duration,flow_rate,sleep_time,dns_interval,ntp_interval
d2:13:91:23:2a:58,24,1146,36,31.217765,3.059156,0.000000,0.000000
ac:bc:32:d4:6f:2f,24,2032079,1052,1929.844522,0.105129,1.480266,168.434989
ac:bc:32:d4:6f:2f,24,469197,799,586.538742,0.292697,2.428418,64.818951
ac:bc:32:d4:6f:2f,24,2993314,3172,943.396779,0.134184,2.796083,99.212629
ac:bc:32:d4:6f:2f,24,1061330,1893,560.536301,0.323330,6.655107,132.219227
ac:bc:32:d4:6f:2f,24,264031,305,865.233777,0.246292,3.052315,0.000000
ac:bc:32:d4:6f:2f,24,411709,517,796.074988,0.263327,4.319595,134.398218
ac:bc:32:d4:6f:2f,24,613932,445,1376.765970,0.099116,1.051929,68.940506
ac:bc:32:d4:6f:2f,24,13159928,3598,3657.376888,0.019107,6.630863,502.645190
ac:bc:32:d4:6f:2f,24,5608693,3588,1562.916328,0.051367,5.936342,993.000641
ac:bc:32:d4:6f:2f,24,1632988,1508,1082.675969,0.087230,3.535137,968.220411
ac:bc:32:d4:6f:2f,24,1370358,3429,399.587955,0.420995,9.003627,200.830966
ac:bc:32:d4:6f:2f,24,1050366,2736,383.854445,0.514838,10.848410,415.575916
ac:bc:32:d4:6f:2f,24,6724680,2345,2866.672068,0.035280,2.391478,118.469869
ac:bc:32:d4:6f:2f,24,21231053,3598,5899.650276,0.017331,2.651031,147.855064
ac:bc:32:d4:6f:2f,24,6477665,3578,1810.282759,0.114817,6.492182,269.277958
ac:bc:32:d4:6f:2f,24,84,32,2.563558,32.766957,0.000000,0.000000
ac:bc:32:d4:6f:2f,24,7513144,2983,2518.051530,0.036352,5.466137,380.109722
ac:bc:32:d4:6f:2f,24,34687935,3599,9637.420987,0.041789,5.140496,539.972124
ac:bc:32:d4:6f:2f,24,1033371,2894,356.952562,0.329125,25.595386,351.758279
40:f3:08:ff:1e:da,24,198812,3075,64.652550,2.352780,65.515812,126.377384
40:f3:08:ff:1e:da,24,436108,3584,121.655327,1.639133,94.276899,2.449233
40:f3:08:ff:1e:da,24,61560,1898,32.430280,3.595125,70.681388,0.000000
40:f3:08:ff:1e:da,24,174603,3404,51.286611,4.009960,91.742669,0.000000
40:f3:08:ff:1e:da,24,363539,2779,130.795068,1.555375,39.016391,0.000000
b4:ce:f6:a7:a3:c2,24,264723,1405,188.288804,0.901822,17.962155,0.000000
b4:ce:f6:a7:a3:c2,24,429535,3561,120.593753,1.569090,30.535915,226.092359
b4:ce:f6:a7:a3:c2,24,148971,1693,87.979122,2.345227,31.723327,24.919472
b4:ce:f6:a7:a3:c2,24,670206,464,1444.002666,0.096553,4.766955,0.000000
b4:ce:f6:a7:a3:c2,24,192890,773,249.269521,0.949474,34.471646,7.565326
b4:ce:f6:a7:a3:c2,24,321234,703,456.419913,0.346364,7.842336,3.163056
b4:ce:f6:a7:a3:c2,24,1638728,3469,472.285004,0.284036,15.490117,212.587033
b4:ce:f6:a7:a3:c2,24,8256,17,476.848420,0.346274,2.365360,0.000000
b4:ce:f6:a7:a3:c2,24,452364,2584,175.042862,0.998572,18.768848,182.113071
b4:ce:f6:a7:a3:c2,24,325936,2822,115.472442,1.742364,41.376937,32.475537
b4:ce:f6:a7:a3:c2,24,534882,2616,204.442877,1.053681,19.217164,0.047854
b4:ce:f6:a7:a3:c2,24,40501,53,760.707587,0.203211,3.850546,0.000000
b4:ce:f6:a7:a3:c2,24,320733,1929,166.206352,1.221347,28.660872,0.000000
b4:ce:f6:a7:a3:c2,24,872121,2260,385.853056,0.445807,18.003353,10.481604
b4:ce:f6:a7:a3:c2,24,478974,406,1177.373807,0.169719,4.395481,0.000000
00:24:e4:10:ee:4c,23,165345,2150,76.885797,1.744142,21.611338,0.000000
00:24:e4:1b:6f:96,22,25105,25,971.698963,0.322952,0.000000,0.000000
00:24:e4:1b:6f:96,22,438,1,349.207944,0.418089,0.000000,0.000000
00:24:e4:1b:6f:96,22,25489,29,868.541422,0.353577,0.000000,0.000000
00:24:e4:1b:6f:96,22,26340,32,803.773598,0.376672,0.000000,0.000000
00:24:e4:1b:6f:96,22,25885,29,879.316383,0.346325,0.000000,0.000000
00:24:e4:1b:6f:96,22,25543,29,872.806503,0.348397,0.000000,0.000000
